predicted_pattern	actual_remapped_pattern
Ss2.2.l	Ss2.2.l-množina
Ss2.2.o	Ss2.2.o-množina
Ss2.3.l	Ss2.3.l-množina
Ss2.3.o	Ss2.3.o-množina
Ss4.6.l	Ss4.6.l-množina
Ss4.6.o	Ss4.6.o-množina
Ss6.1.l	Ss6.1.l-Sosei
Ss6.1.o	Ss6.1.o-Sosei
Ss8.2.l	Ss8.2.l-ednina
Ss8.2.o	Ss8.2.o-ednina
Sz1.4.l	Sz1.4.l-množina
Sz1.4.o	Sz1.4.o-množina
Sz4.2.l	Sz4.2.l-ednina
Sz4.2.o	Sz4.2.o-ednina
Sz4.3.l	Sz4.3.l-množina
Sz4.3.o	Sz4.3.o-množina
Sz5.9.l	Sz5.9.l-V1
Sz5.9.o	Sz5.9.o-V1
Sz8.1.l	Sz8.1.l-V3
Sz8.1.o	Sz8.1.o-V3
Sz8.2.l	Sz8.2.l-V3
Sz8.2.o	Sz8.2.o-V3
Sz8.3.l	Sz8.3.l-V3
Sz8.3.o	Sz8.3.o-V3
Sz8.4.l	Sz8.4.l-V3
Sz8.4.o	Sz8.4.o-V3
Sm3.18.l	Sm3.18.l-ednina
Sm3.18.o	Sm3.18.o-ednina
Sm3.7.l	Sm3.7.l-ednina
Sm3.7.o	Sm3.7.o-ednina
Sm4.7.l	Sm4.7.l-ednina
Sm4.7.o	Sm4.7.o-ednina